indicator_id,indicator_label_en
CR.1.Q3.F,"Completion rate, primary education, middle quintile, female (%)"
CR.1.Q3.F.LPIA,"Completion rate, primary education, middle quintile, female, adjusted location parity index (LPIA)"
CR.1.Q3.GPIA,"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)"
CR.1.Q3.LPIA,"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)"
CR.1.Q3.M,"Completion rate, primary education, middle quintile, male (%)"
CR.1.Q3.M.LPIA,"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)"
CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)"
CR.1.Q4.F,"Completion rate, primary education, fourth quintile, female (%)"
CR.1.Q4.F.LPIA,"Completion rate, primary education, fourth quintile, female, adjusted location parity index (LPIA)"
CR.1.Q4.GPIA,"Completion rate, primary education, fourth quintile, adjusted gender parity index (GPIA)"
CR.1.Q4.LPIA,"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)"
CR.1.Q4.M,"Completion rate, primary education, fourth quintile, male (%)"
CR.1.Q4.M.LPIA,"Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)"
CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)"
CR.1.Q5.F,"Completion rate, primary education, richest quintile, female (%)"
CR.1.Q5.F.LPIA,"Completion rate, primary education, richest quintile, female, adjusted location parity index (LPIA)"
CR.1.Q5.GPIA,"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)"
CR.1.Q5.LPIA,"Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)"
CR.1.Q5.M,"Completion rate, primary education, richest quintile, male (%)"
CR.1.Q5.M.LPIA,"Completion rate, primary education, richest quintile, male, adjusted location parity index (LPIA)"
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)"
CR.1.RUR.F,"Completion rate, primary education, rural, female (%)"
CR.1.RUR.F.WPIA,"Completion rate, primary education, rural, female, adjusted wealth parity index (WPIA)"
CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)"
CR.1.RUR.M,"Completion rate, primary education, rural, male (%)"
CR.1.RUR.M.WPIA,"Completion rate, primary education, rural, male, adjusted wealth parity index (WPIA)"
CR.1.RUR.Q1,"Completion rate, primary education, rural, poorest quintile, both sexes (%)"
CR.1.RUR.Q1.F,"Completion rate, primary education, rural, poorest quintile, female (%)"
CR.1.RUR.Q1.GPIA,"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q1.M,"Completion rate, primary education, rural, poorest quintile, male (%)"
CR.1.RUR.Q2,"Completion rate, primary education, rural, second quintile, both sexes (%)"
CR.1.RUR.Q2.F,"Completion rate, primary education, rural, second quintile, female (%)"
CR.1.RUR.Q2.GPIA,"Completion rate, primary education, rural, second quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q2.M,"Completion rate, primary education, rural, second quintile, male (%)"
CR.1.RUR.Q3,"Completion rate, primary education, rural, middle quintile, both sexes (%)"
CR.1.RUR.Q3.F,"Completion rate, primary education, rural, middle quintile, female (%)"
CR.1.RUR.Q3.GPIA,"Completion rate, primary education, rural, middle quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q3.M,"Completion rate, primary education, rural, middle quintile, male (%)"
CR.1.RUR.Q4,"Completion rate, primary education, rural, fourth quintile, both sexes (%)"
CR.1.RUR.Q4.F,"Completion rate, primary education, rural, fourth quintile, female (%)"
CR.1.RUR.Q4.GPIA,"Completion rate, primary education, rural, fourth quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q4.M,"Completion rate, primary education, rural, fourth quintile, male (%)"
CR.1.RUR.Q5,"Completion rate, primary education, rural, richest quintile, both sexes (%)"
CR.1.RUR.Q5.F,"Completion rate, primary education, rural, richest quintile, female (%)"
CR.1.RUR.Q5.GPIA,"Completion rate, primary education, rural, richest quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q5.M,"Completion rate, primary education, rural, richest quintile, male (%)"
CR.1.RUR.WPIA,"Completion rate, primary education, rural, adjusted wealth parity index (WPIA)"
CR.1.URB,"Completion rate, primary education, urban, both sexes (%)"
CR.1.URB.F,"Completion rate, primary education, urban, female (%)"
CR.1.URB.F.WPIA,"Completion rate, primary education, urban, female, adjusted wealth parity index (WPIA)"
CR.1.URB.GPIA,"Completion rate, primary education, urban, adjusted gender parity index (GPIA)"
CR.1.URB.M,"Completion rate, primary education, urban, male (%)"
CR.1.URB.M.WPIA,"Completion rate, primary education, urban, male, adjusted wealth parity index (WPIA)"
CR.1.URB.Q1,"Completion rate, primary education, urban, poorest quintile, both sexes (%)"
CR.1.URB.Q1.F,"Completion rate, primary education, urban, poorest quintile, female (%)"
CR.1.URB.Q1.GPIA,"Completion rate, primary education, urban, poorest quintile, adjusted gender parity index (GPIA)"
CR.1.URB.Q1.M,"Completion rate, primary education, urban, poorest quintile, male (%)"
CR.1.URB.Q2,"Completion rate, primary education, urban, second quintile, both sexes (%)"
CR.1.URB.Q2.F,"Completion rate, primary education, urban, second quintile, female (%)"
CR.1.URB.Q2.GPIA,"Completion rate, primary education, urban, second quintile, adjusted gender parity index (GPIA)"
CR.1.URB.Q2.M,"Completion rate, primary education, urban, second quintile, male (%)"
CR.1.URB.Q3,"Completion rate, primary education, urban, middle quintile, both sexes (%)"
CR.1.URB.Q3.F,"Completion rate, primary education, urban, middle quintile, female (%)"
CR.1.URB.Q3.GPIA,"Completion rate, primary education, urban, middle quintile, adjusted gender parity index (GPIA)"
CR.1.URB.Q3.M,"Completion rate, primary education, urban, middle quintile, male (%)"
CR.1.URB.Q4,"Completion rate, primary education, urban, fourth quintile, both sexes (%)"
CR.1.URB.Q4.F,"Completion rate, primary education, urban, fourth quintile, female (%)"
CR.1.URB.Q4.GPIA,"Completion rate, primary education, urban, fourth quintile, adjusted gender parity index (GPIA)"
CR.1.URB.Q4.M,"Completion rate, primary education, urban, fourth quintile, male (%)"
CR.1.URB.Q5,"Completion rate, primary education, urban, richest quintile, both sexes (%)"
CR.1.URB.Q5.F,"Completion rate, primary education, urban, richest quintile, female (%)"
CR.1.URB.Q5.GPIA,"Completion rate, primary education, urban, richest quintile, adjusted gender parity index (GPIA)"
CR.1.URB.Q5.M,"Completion rate, primary education, urban, richest quintile, male (%)"
CR.1.URB.WPIA,"Completion rate, primary education, urban, adjusted wealth parity index (WPIA)"
CR.1.WPIA,"Completion rate, primary education, adjusted wealth parity index (WPIA)"
CR.2,"Completion rate, lower secondary education, both sexes (%)"
CR.2.ABL,"Completion rate, lower secondary education, not disabled, both sexes (%)"
CR.2.ABL.F,"Completion rate, lower secondary education, not disabled, female (%)"
CR.2.ABL.GPIA,"Completion rate, lower secondary education, not disabled, adjusted gender parity index (GPIA)"
CR.2.ABL.M,"Completion rate, lower secondary education, not disabled, male (%)"
CR.2.DIS,"Completion rate, lower secondary education, disabled, both sexes (%)"
CR.2.DIS.F,"Completion rate, lower secondary education, disabled, female (%)"
CR.2.DIS.GPIA,"Completion rate, lower secondary education, disabled, adjusted gender parity index (GPIA)"
CR.2.DIS.M,"Completion rate, lower secondary education, disabled, male (%)"
CR.2.DPIA,"Completion rate, lower secondary education, adjusted disability parity index (DPIA)"
CR.2.F,"Completion rate, lower secondary education, female (%)"
CR.2.F.DPIA,"Completion rate, lower secondary education, female, adjusted disability parity index (DPIA)"
CR.2.F.LPIA,"Completion rate, lower secondary education, female, adjusted location parity index (LPIA)"
CR.2.F.WPIA,"Completion rate, lower secondary education, female, adjusted wealth parity index (WPIA)"
CR.2.GPIA,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)"
CR.2.LPIA,"Completion rate, lower secondary education, adjusted location parity index (LPIA)"
CR.2.M,"Completion rate, lower secondary education, male (%)"
CR.2.M.DPIA,"Completion rate, lower secondary education, male, adjusted disability parity index (DPIA)"
CR.2.M.LPIA,"Completion rate, lower secondary education, male, adjusted location parity index (LPIA)"
CR.2.M.WPIA,"Completion rate, lower secondary education, male, adjusted wealth parity index (WPIA)"
CR.2.Q1,"Completion rate, lower secondary education, poorest quintile, both sexes (%)"
CR.2.Q1.F,"Completion rate, lower secondary education, poorest quintile, female (%)"
CR.2.Q1.F.LPIA,"Completion rate, lower secondary education, poorest quintile, female, adjusted location parity index (LPIA)"
CR.2.Q1.GPIA,"Completion rate, lower secondary education, poorest quintile, adjusted gender parity index (GPIA)"
CR.2.Q1.LPIA,"Completion rate, lower secondary education, poorest quintile, adjusted location parity index (LPIA)"
CR.2.Q1.M,"Completion rate, lower secondary education, poorest quintile, male (%)"
CR.2.Q1.M.LPIA,"Completion rate, lower secondary education, poorest quintile, male, adjusted location parity index (LPIA)"
CR.2.Q2,"Completion rate, lower secondary education, second quintile, both sexes (%)"
CR.2.Q2.F,"Completion rate, lower secondary education, second quintile, female (%)"
CR.2.Q2.F.LPIA,"Completion rate, lower secondary education, second quintile, female, adjusted location parity index (LPIA)"
CR.2.Q2.GPIA,"Completion rate, lower secondary education, second quintile, adjusted gender parity index (GPIA)"
CR.2.Q2.LPIA,"Completion rate, lower secondary education, second quintile, adjusted location parity index (LPIA)"
CR.2.Q2.M,"Completion rate, lower secondary education, second quintile, male (%)"
CR.2.Q2.M.LPIA,"Completion rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)"
CR.2.Q3,"Completion rate, lower secondary education, middle quintile, both sexes (%)"
CR.2.Q3.F,"Completion rate, lower secondary education, middle quintile, female (%)"
CR.2.Q3.F.LPIA,"Completion rate, lower secondary education, middle quintile, female, adjusted location parity index (LPIA)"
CR.2.Q3.GPIA,"Completion rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)"
CR.2.Q3.LPIA,"Completion rate, lower secondary education, middle quintile, adjusted location parity index (LPIA)"
CR.2.Q3.M,"Completion rate, lower secondary education, middle quintile, male (%)"
CR.2.Q3.M.LPIA,"Completion rate, lower secondary education, middle quintile, male, adjusted location parity index (LPIA)"
CR.2.Q4,"Completion rate, lower secondary education, fourth quintile, both sexes (%)"
CR.2.Q4.F,"Completion rate, lower secondary education, fourth quintile, female (%)"
CR.2.Q4.F.LPIA,"Completion rate, lower secondary education, fourth quintile, female, adjusted location parity index (LPIA)"
CR.2.Q4.GPIA,"Completion rate, lower secondary education, fourth quintile, adjusted gender parity index (GPIA)"
CR.2.Q4.LPIA,"Completion rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)"
CR.2.Q4.M,"Completion rate, lower secondary education, fourth quintile, male (%)"
CR.2.Q4.M.LPIA,"Completion rate, lower secondary education, fourth quintile, male, adjusted location parity index (LPIA)"
CR.2.Q5,"Completion rate, lower secondary education, richest quintile, both sexes (%)"
CR.2.Q5.F,"Completion rate, lower secondary education, richest quintile, female (%)"
CR.2.Q5.F.LPIA,"Completion rate, lower secondary education, richest quintile, female, adjusted location parity index (LPIA)"
CR.2.Q5.GPIA,"Completion rate, lower secondary education, richest quintile, adjusted gender parity index (GPIA)"
CR.2.Q5.LPIA,"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)"
CR.2.Q5.M,"Completion rate, lower secondary education, richest quintile, male (%)"
CR.2.Q5.M.LPIA,"Completion rate, lower secondary education, richest quintile, male, adjusted location parity index (LPIA)"
CR.2.RUR,"Completion rate, lower secondary education, rural, both sexes (%)"
CR.2.RUR.F,"Completion rate, lower secondary education, rural, female (%)"
CR.2.RUR.F.WPIA,"Completion rate, lower secondary education, rural, female, adjusted wealth parity index (WPIA)"
CR.2.RUR.GPIA,"Completion rate, lower secondary education, rural, adjusted gender parity index (GPIA)"
CR.2.RUR.M,"Completion rate, lower secondary education, rural, male (%)"
CR.2.RUR.M.WPIA,"Completion rate, lower secondary education, rural, male, adjusted wealth parity index (WPIA)"
CR.2.RUR.Q1,"Completion rate, lower secondary education, rural, poorest quintile, both sexes (%)"
CR.2.RUR.Q1.F,"Completion rate, lower secondary education, rural, poorest quintile, female (%)"
CR.2.RUR.Q1.GPIA,"Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
CR.2.RUR.Q1.M,"Completion rate, lower secondary education, rural, poorest quintile, male (%)"
CR.2.RUR.Q2,"Completion rate, lower secondary education, rural, second quintile, both sexes (%)"
CR.2.RUR.Q2.F,"Completion rate, lower secondary education, rural, second quintile, female (%)"
CR.2.RUR.Q2.GPIA,"Completion rate, lower secondary education, rural, second quintile, adjusted gender parity index (GPIA)"
CR.2.RUR.Q2.M,"Completion rate, lower secondary education, rural, second quintile, male (%)"
CR.2.RUR.Q3,"Completion rate, lower secondary education, rural, middle quintile, both sexes (%)"
CR.2.RUR.Q3.F,"Completion rate, lower secondary education, rural, middle quintile, female (%)"
CR.2.RUR.Q3.GPIA,"Completion rate, lower secondary education, rural, middle quintile, adjusted gender parity index (GPIA)"
CR.2.RUR.Q3.M,"Completion rate, lower secondary education, rural, middle quintile, male (%)"
CR.2.RUR.Q4,"Completion rate, lower secondary education, rural, fourth quintile, both sexes (%)"
CR.2.RUR.Q4.F,"Completion rate, lower secondary education, rural, fourth quintile, female (%)"
CR.2.RUR.Q4.GPIA,"Completion rate, lower secondary education, rural, fourth quintile, adjusted gender parity index (GPIA)"
CR.2.RUR.Q4.M,"Completion rate, lower secondary education, rural, fourth quintile, male (%)"
CR.2.RUR.Q5,"Completion rate, lower secondary education, rural, richest quintile, both sexes (%)"
CR.2.RUR.Q5.F,"Completion rate, lower secondary education, rural, richest quintile, female (%)"
CR.2.RUR.Q5.GPIA,"Completion rate, lower secondary education, rural, richest quintile, adjusted gender parity index (GPIA)"
CR.2.RUR.Q5.M,"Completion rate, lower secondary education, rural, richest quintile, male (%)"
CR.2.RUR.WPIA,"Completion rate, lower secondary education, rural, adjusted wealth parity index (WPIA)"
CR.2.URB,"Completion rate, lower secondary education, urban, both sexes (%)"
CR.2.URB.F,"Completion rate, lower secondary education, urban, female (%)"
CR.2.URB.F.WPIA,"Completion rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)"
CR.2.URB.GPIA,"Completion rate, lower secondary education, urban, adjusted gender parity index (GPIA)"
CR.2.URB.M,"Completion rate, lower secondary education, urban, male (%)"
CR.2.URB.M.WPIA,"Completion rate, lower secondary education, urban, male, adjusted wealth parity index (WPIA)"
CR.2.URB.Q1,"Completion rate, lower secondary education, urban, poorest quintile, both sexes (%)"
CR.2.URB.Q1.F,"Completion rate, lower secondary education, urban, poorest quintile, female (%)"
CR.2.URB.Q1.GPIA,"Completion rate, lower secondary education, urban, poorest quintile, adjusted gender parity index (GPIA)"
CR.2.URB.Q1.M,"Completion rate, lower secondary education, urban, poorest quintile, male (%)"
CR.2.URB.Q2,"Completion rate, lower secondary education, urban, second quintile, both sexes (%)"
CR.2.URB.Q2.F,"Completion rate, lower secondary education, urban, second quintile, female (%)"
CR.2.URB.Q2.GPIA,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)"
CR.2.URB.Q2.M,"Completion rate, lower secondary education, urban, second quintile, male (%)"
CR.2.URB.Q3,"Completion rate, lower secondary education, urban, middle quintile, both sexes (%)"
CR.2.URB.Q3.F,"Completion rate, lower secondary education, urban, middle quintile, female (%)"
CR.2.URB.Q3.GPIA,"Completion rate, lower secondary education, urban, middle quintile, adjusted gender parity index (GPIA)"
CR.2.URB.Q3.M,"Completion rate, lower secondary education, urban, middle quintile, male (%)"
CR.2.URB.Q4,"Completion rate, lower secondary education, urban, fourth quintile, both sexes (%)"
CR.2.URB.Q4.F,"Completion rate, lower secondary education, urban, fourth quintile, female (%)"
CR.2.URB.Q4.GPIA,"Completion rate, lower secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)"
CR.2.URB.Q4.M,"Completion rate, lower secondary education, urban, fourth quintile, male (%)"
CR.2.URB.Q5,"Completion rate, lower secondary education, urban, richest quintile, both sexes (%)"
CR.2.URB.Q5.F,"Completion rate, lower secondary education, urban, richest quintile, female (%)"
CR.2.URB.Q5.GPIA,"Completion rate, lower secondary education, urban, richest quintile, adjusted gender parity index (GPIA)"
CR.2.URB.Q5.M,"Completion rate, lower secondary education, urban, richest quintile, male (%)"
CR.2.URB.WPIA,"Completion rate, lower secondary education, urban, adjusted wealth parity index (WPIA)"
CR.2.WPIA,"Completion rate, lower secondary education, adjusted wealth parity index (WPIA)"
CR.3,"Completion rate, upper secondary education, both sexes (%)"
CR.3.ABL,"Completion rate, upper secondary education, not disabled, both sexes (%)"
CR.3.ABL.F,"Completion rate, upper secondary education, not disabled, female (%)"
CR.3.ABL.GPIA,"Completion rate, upper secondary education, not disabled, adjusted gender parity index (GPIA)"
CR.3.ABL.M,"Completion rate, upper secondary education, not disabled, male (%)"
CR.3.DIS,"Completion rate, upper secondary education, disabled, both sexes (%)"
CR.3.DIS.F,"Completion rate, upper secondary education, disabled, female (%)"
CR.3.DIS.GPIA,"Completion rate, upper secondary education, disabled, adjusted gender parity index (GPIA)"
CR.3.DIS.M,"Completion rate, upper secondary education, disabled, male (%)"
CR.3.DPIA,"Completion rate, upper secondary education, adjusted disability parity index (DPIA)"
CR.3.F,"Completion rate, upper secondary education, female (%)"
CR.3.F.DPIA,"Completion rate, upper secondary education, female, adjusted disability parity index (DPIA)"
CR.3.F.LPIA,"Completion rate, upper secondary education, female, adjusted location parity index (LPIA)"
CR.3.F.WPIA,"Completion rate, upper secondary education, female, adjusted wealth parity index (WPIA)"
CR.3.GPIA,"Completion rate, upper secondary education, adjusted gender parity index (GPIA)"
CR.3.LPIA,"Completion rate, upper secondary education, adjusted location parity index (LPIA)"
CR.3.M,"Completion rate, upper secondary education, male (%)"
CR.3.M.DPIA,"Completion rate, upper secondary education, male, adjusted disability parity index (DPIA)"
CR.3.M.LPIA,"Completion rate, upper secondary education, male, adjusted location parity index (LPIA)"
CR.3.M.WPIA,"Completion rate, upper secondary education, male, adjusted wealth parity index (WPIA)"
CR.3.Q1,"Completion rate, upper secondary education, poorest quintile, both sexes (%)"
CR.3.Q1.F,"Completion rate, upper secondary education, poorest quintile, female (%)"
CR.3.Q1.F.LPIA,"Completion rate, upper secondary education, poorest quintile, female, adjusted location parity index (LPIA)"
CR.3.Q1.GPIA,"Completion rate, upper secondary education, poorest quintile, adjusted gender parity index (GPIA)"
CR.3.Q1.LPIA,"Completion rate, upper secondary education, poorest quintile, adjusted location parity index (LPIA)"
CR.3.Q1.M,"Completion rate, upper secondary education, poorest quintile, male (%)"
CR.3.Q1.M.LPIA,"Completion rate, upper secondary education, poorest quintile, male, adjusted location parity index (LPIA)"
CR.3.Q2,"Completion rate, upper secondary education, second quintile, both sexes (%)"
CR.3.Q2.F,"Completion rate, upper secondary education, second quintile, female (%)"
CR.3.Q2.F.LPIA,"Completion rate, upper secondary education, second quintile, female, adjusted location parity index (LPIA)"
CR.3.Q2.GPIA,"Completion rate, upper secondary education, second quintile, adjusted gender parity index (GPIA)"
CR.3.Q2.LPIA,"Completion rate, upper secondary education, second quintile, adjusted location parity index (LPIA)"
CR.3.Q2.M,"Completion rate, upper secondary education, second quintile, male (%)"
CR.3.Q2.M.LPIA,"Completion rate, upper secondary education, second quintile, male, adjusted location parity index (LPIA)"
CR.3.Q3,"Completion rate, upper secondary education, middle quintile, both sexes (%)"
CR.3.Q3.F,"Completion rate, upper secondary education, middle quintile, female (%)"
CR.3.Q3.F.LPIA,"Completion rate, upper secondary education, middle quintile, female, adjusted location parity index (LPIA)"
CR.3.Q3.GPIA,"Completion rate, upper secondary education, middle quintile, adjusted gender parity index (GPIA)"
CR.3.Q3.LPIA,"Completion rate, upper secondary education, middle quintile, adjusted location parity index (LPIA)"
CR.3.Q3.M,"Completion rate, upper secondary education, middle quintile, male (%)"
CR.3.Q3.M.LPIA,"Completion rate, upper secondary education, middle quintile, male, adjusted location parity index (LPIA)"
CR.3.Q4,"Completion rate, upper secondary education, fourth quintile, both sexes (%)"
CR.3.Q4.F,"Completion rate, upper secondary education, fourth quintile, female (%)"
CR.3.Q4.F.LPIA,"Completion rate, upper secondary education, fourth quintile, female, adjusted location parity index (LPIA)"
CR.3.Q4.GPIA,"Completion rate, upper secondary education, fourth quintile, adjusted gender parity index (GPIA)"
CR.3.Q4.LPIA,"Completion rate, upper secondary education, fourth quintile, adjusted location parity index (LPIA)"
CR.3.Q4.M,"Completion rate, upper secondary education, fourth quintile, male (%)"
CR.3.Q4.M.LPIA,"Completion rate, upper secondary education, fourth quintile, male, adjusted location parity index (LPIA)"
CR.3.Q5,"Completion rate, upper secondary education, richest quintile, both sexes (%)"
CR.3.Q5.F,"Completion rate, upper secondary education, richest quintile, female (%)"
CR.3.Q5.F.LPIA,"Completion rate, upper secondary education, richest quintile, female, adjusted location parity index (LPIA)"
CR.3.Q5.GPIA,"Completion rate, upper secondary education, richest quintile, adjusted gender parity index (GPIA)"
CR.3.Q5.LPIA,"Completion rate, upper secondary education, richest quintile, adjusted location parity index (LPIA)"
CR.3.Q5.M,"Completion rate, upper secondary education, richest quintile, male (%)"
CR.3.Q5.M.LPIA,"Completion rate, upper secondary education, richest quintile, male, adjusted location parity index (LPIA)"
CR.3.RUR,"Completion rate, upper secondary education, rural, both sexes (%)"
CR.3.RUR.F,"Completion rate, upper secondary education, rural, female (%)"
CR.3.RUR.F.WPIA,"Completion rate, upper secondary education, rural, female, adjusted wealth parity index (WPIA)"
CR.3.RUR.GPIA,"Completion rate, upper secondary education, rural, adjusted gender parity index (GPIA)"
CR.3.RUR.M,"Completion rate, upper secondary education, rural, male (%)"
CR.3.RUR.M.WPIA,"Completion rate, upper secondary education, rural, male, adjusted wealth parity index (WPIA)"
CR.3.RUR.Q1,"Completion rate, upper secondary education, rural, poorest quintile, both sexes (%)"
CR.3.RUR.Q1.F,"Completion rate, upper secondary education, rural, poorest quintile, female (%)"
CR.3.RUR.Q1.GPIA,"Completion rate, upper secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
CR.3.RUR.Q1.M,"Completion rate, upper secondary education, rural, poorest quintile, male (%)"
CR.3.RUR.Q2,"Completion rate, upper secondary education, rural, second quintile, both sexes (%)"
CR.3.RUR.Q2.F,"Completion rate, upper secondary education, rural, second quintile, female (%)"
CR.3.RUR.Q2.GPIA,"Completion rate, upper secondary education, rural, second quintile, adjusted gender parity index (GPIA)"
CR.3.RUR.Q2.M,"Completion rate, upper secondary education, rural, second quintile, male (%)"
CR.3.RUR.Q3,"Completion rate, upper secondary education, rural, middle quintile, both sexes (%)"
CR.3.RUR.Q3.F,"Completion rate, upper secondary education, rural, middle quintile, female (%)"
CR.3.RUR.Q3.GPIA,"Completion rate, upper secondary education, rural, middle quintile, adjusted gender parity index (GPIA)"
CR.3.RUR.Q3.M,"Completion rate, upper secondary education, rural, middle quintile, male (%)"
CR.3.RUR.Q4,"Completion rate, upper secondary education, rural, fourth quintile, both sexes (%)"
CR.3.RUR.Q4.F,"Completion rate, upper secondary education, rural, fourth quintile, female (%)"
CR.3.RUR.Q4.GPIA,"Completion rate, upper secondary education, rural, fourth quintile, adjusted gender parity index (GPIA)"
CR.3.RUR.Q4.M,"Completion rate, upper secondary education, rural, fourth quintile, male (%)"
CR.3.RUR.Q5,"Completion rate, upper secondary education, rural, richest quintile, both sexes (%)"
CR.3.RUR.Q5.F,"Completion rate, upper secondary education, rural, richest quintile, female (%)"
CR.3.RUR.Q5.GPIA,"Completion rate, upper secondary education, rural, richest quintile, adjusted gender parity index (GPIA)"
CR.3.RUR.Q5.M,"Completion rate, upper secondary education, rural, richest quintile, male (%)"
CR.3.RUR.WPIA,"Completion rate, upper secondary education, rural, adjusted wealth parity index (WPIA)"
